cotacao_id;cotacao_data;cotacao_codigo_acao;cotacao_nome_empresa_reduzido;cotacao_tipo_moeda;cotacao_valor_abertura;cotacao_valor_maximo;cotacao_valor_minimo;cotacao_valor_medio;cotacao_valor_fechamento
7003514;21/10/2022;DMMO3;DOMMO;R$;1,79;1,82;1,79;1,80;1,80
6994376;20/10/2022;DMMO3;DOMMO;R$;1,79;1,80;1,78;1,79;1,79
6985683;19/10/2022;DMMO3;DOMMO;R$;1,78;1,79;1,78;1,78;1,79
6977384;18/10/2022;DMMO3;DOMMO;R$;1,78;1,79;1,78;1,78;1,79
6969300;17/10/2022;DMMO3;DOMMO;R$;1,76;1,80;1,76;1,78;1,78
6961801;14/10/2022;DMMO3;DOMMO;R$;1,77;1,78;1,76;1,76;1,77
6954318;13/10/2022;DMMO3;DOMMO;R$;1,76;1,78;1,75;1,76;1,77
6947289;11/10/2022;DMMO3;DOMMO;R$;1,79;1,79;1,76;1,77;1,77
6940194;10/10/2022;DMMO3;DOMMO;R$;1,80;1,80;1,78;1,78;1,79
6932734;07/10/2022;DMMO3;DOMMO;R$;1,78;1,80;1,78;1,79;1,80
6925101;06/10/2022;DMMO3;DOMMO;R$;1,79;1,80;1,79;1,79;1,79
6917682;05/10/2022;DMMO3;DOMMO;R$;1,77;1,80;1,76;1,78;1,80
6909802;04/10/2022;DMMO3;DOMMO;R$;1,76;1,78;1,75;1,76;1,77
6901642;03/10/2022;DMMO3;DOMMO;R$;1,75;1,78;1,74;1,75;1,76
6894362;30/09/2022;DMMO3;DOMMO;R$;1,74;1,77;1,73;1,74;1,74
6886819;29/09/2022;DMMO3;DOMMO;R$;1,74;1,75;1,73;1,74;1,75
6879811;28/09/2022;DMMO3;DOMMO;R$;1,74;1,76;1,73;1,74;1,75
6872734;27/09/2022;DMMO3;DOMMO;R$;1,75;1,76;1,73;1,74;1,74
6865620;26/09/2022;DMMO3;DOMMO;R$;1,75;1,75;1,73;1,74;1,74
6858665;23/09/2022;DMMO3;DOMMO;R$;1,74;1,76;1,73;1,74;1,75
6851500;22/09/2022;DMMO3;DOMMO;R$;1,77;1,77;1,74;1,75;1,75
6844564;21/09/2022;DMMO3;DOMMO;R$;1,75;1,78;1,74;1,75;1,76
6837561;20/09/2022;DMMO3;DOMMO;R$;1,76;1,76;1,74;1,75;1,75
6830364;19/09/2022;DMMO3;DOMMO;R$;1,75;1,77;1,73;1,75;1,77
6822143;16/09/2022;DMMO3;DOMMO;R$;1,70;1,77;1,69;1,73;1,76
6813027;15/09/2022;DMMO3;DOMMO;R$;1,71;1,72;1,69;1,70;1,70
6804291;14/09/2022;DMMO3;DOMMO;R$;1,70;1,72;1,70;1,70;1,70
6795769;13/09/2022;DMMO3;DOMMO;R$;1,70;1,73;1,69;1,70;1,70
6786979;12/09/2022;DMMO3;DOMMO;R$;1,73;1,74;1,69;1,71;1,71
6779088;09/09/2022;DMMO3;DOMMO;R$;1,72;1,74;1,71;1,72;1,72
6771492;08/09/2022;DMMO3;DOMMO;R$;1,73;1,74;1,71;1,72;1,72
6764028;06/09/2022;DMMO3;DOMMO;R$;1,72;1,77;1,71;1,72;1,72
6756960;05/09/2022;DMMO3;DOMMO;R$;1,69;1,74;1,67;1,71;1,74
6749880;02/09/2022;DMMO3;DOMMO;R$;1,68;1,72;1,63;1,66;1,68
6742662;01/09/2022;DMMO3;DOMMO;R$;1,60;1,75;1,60;1,68;1,74
6735857;31/08/2022;DMMO3;DOMMO;R$;1,58;1,66;1,57;1,61;1,61
6728878;30/08/2022;DMMO3;DOMMO;R$;1,61;1,63;1,56;1,58;1,58
6722087;29/08/2022;DMMO3;DOMMO;R$;1,70;1,75;1,61;1,67;1,61
6715226;26/08/2022;DMMO3;DOMMO;R$;1,70;1,75;1,65;1,70;1,71
6708458;25/08/2022;DMMO3;DOMMO;R$;1,58;1,72;1,56;1,65;1,69
6701498;24/08/2022;DMMO3;DOMMO;R$;1,59;1,62;1,56;1,58;1,57
6694673;23/08/2022;DMMO3;DOMMO;R$;1,56;1,60;1,54;1,57;1,59
6687834;22/08/2022;DMMO3;DOMMO;R$;1,70;1,70;1,55;1,60;1,55
6679655;19/08/2022;DMMO3;DOMMO;R$;1,68;1,70;1,62;1,65;1,69
6670543;18/08/2022;DMMO3;DOMMO;R$;1,67;1,73;1,64;1,68;1,69
6661773;17/08/2022;DMMO3;DOMMO;R$;1,63;1,70;1,61;1,66;1,67
6653048;16/08/2022;DMMO3;DOMMO;R$;1,69;1,71;1,58;1,63;1,63
6644288;15/08/2022;DMMO3;DOMMO;R$;1,63;1,76;1,63;1,71;1,70
6636275;12/08/2022;DMMO3;DOMMO;R$;1,58;1,64;1,57;1,61;1,64
6628336;11/08/2022;DMMO3;DOMMO;R$;1,60;1,61;1,56;1,58;1,58
6620420;10/08/2022;DMMO3;DOMMO;R$;1,58;1,62;1,56;1,59;1,60
6612890;09/08/2022;DMMO3;DOMMO;R$;1,63;1,63;1,57;1,59;1,58
6605115;08/08/2022;DMMO3;DOMMO;R$;1,64;1,66;1,61;1,63;1,62
6597795;05/08/2022;DMMO3;DOMMO;R$;1,59;1,63;1,58;1,60;1,63
6589953;04/08/2022;DMMO3;DOMMO;R$;1,59;1,65;1,58;1,61;1,60
6583184;03/08/2022;DMMO3;DOMMO;R$;1,57;1,61;1,57;1,58;1,58
6576702;02/08/2022;DMMO3;DOMMO;R$;1,59;1,61;1,56;1,58;1,59
6570208;01/08/2022;DMMO3;DOMMO;R$;1,54;1,60;1,53;1,56;1,59
6563577;29/07/2022;DMMO3;DOMMO;R$;1,58;1,59;1,53;1,55;1,54
6557072;28/07/2022;DMMO3;DOMMO;R$;1,58;1,60;1,55;1,57;1,57
6550710;27/07/2022;DMMO3;DOMMO;R$;1,64;1,65;1,56;1,59;1,57
6544449;26/07/2022;DMMO3;DOMMO;R$;1,59;1,67;1,59;1,62;1,63
6538184;25/07/2022;DMMO3;DOMMO;R$;1,53;1,63;1,51;1,58;1,59
6532047;22/07/2022;DMMO3;DOMMO;R$;1,56;1,59;1,49;1,53;1,50
6526149;21/07/2022;DMMO3;DOMMO;R$;1,51;1,58;1,49;1,55;1,56
6519864;20/07/2022;DMMO3;DOMMO;R$;1,45;1,51;1,45;1,48;1,49
6513637;19/07/2022;DMMO3;DOMMO;R$;1,45;1,47;1,42;1,44;1,46
6507034;18/07/2022;DMMO3;DOMMO;R$;1,42;1,47;1,42;1,44;1,44
6499268;15/07/2022;DMMO3;DOMMO;R$;1,42;1,44;1,39;1,41;1,41
6490389;14/07/2022;DMMO3;DOMMO;R$;1,48;1,49;1,39;1,42;1,42
6482026;13/07/2022;DMMO3;DOMMO;R$;1,48;1,52;1,48;1,49;1,49
6473857;12/07/2022;DMMO3;DOMMO;R$;1,44;1,51;1,42;1,47;1,48
6466216;11/07/2022;DMMO3;DOMMO;R$;1,43;1,47;1,42;1,44;1,45
6459193;08/07/2022;DMMO3;DOMMO;R$;1,46;1,48;1,43;1,45;1,47
6451703;07/07/2022;DMMO3;DOMMO;R$;1,42;1,50;1,41;1,46;1,46
6444469;06/07/2022;DMMO3;DOMMO;R$;1,44;1,45;1,37;1,40;1,40
6437362;05/07/2022;DMMO3;DOMMO;R$;1,47;1,48;1,42;1,44;1,45
6430781;04/07/2022;DMMO3;DOMMO;R$;1,47;1,54;1,46;1,49;1,48
6424127;01/07/2022;DMMO3;DOMMO;R$;1,44;1,47;1,39;1,43;1,47
6417525;30/06/2022;DMMO3;DOMMO;R$;1,42;1,48;1,41;1,44;1,44
6411027;29/06/2022;DMMO3;DOMMO;R$;1,49;1,51;1,39;1,44;1,45
6404533;28/06/2022;DMMO3;DOMMO;R$;1,55;1,60;1,48;1,53;1,48
6397769;27/06/2022;DMMO3;DOMMO;R$;1,56;1,67;1,55;1,60;1,56
6391295;24/06/2022;DMMO3;DOMMO;R$;1,49;1,51;1,42;1,46;1,45
6384585;23/06/2022;DMMO3;DOMMO;R$;1,37;1,55;1,36;1,48;1,48
6378016;22/06/2022;DMMO3;DOMMO;R$;1,26;1,36;1,25;1,31;1,34
6371558;21/06/2022;DMMO3;DOMMO;R$;1,34;1,35;1,26;1,30;1,28
6364860;20/06/2022;DMMO3;DOMMO;R$;1,39;1,40;1,30;1,35;1,31
6356122;17/06/2022;DMMO3;DOMMO;R$;1,40;1,45;1,38;1,41;1,40
6346931;15/06/2022;DMMO3;DOMMO;R$;1,31;1,45;1,31;1,38;1,42
6338152;14/06/2022;DMMO3;DOMMO;R$;1,40;1,42;1,30;1,34;1,30
6329507;13/06/2022;DMMO3;DOMMO;R$;1,47;1,49;1,38;1,42;1,40
6321940;10/06/2022;DMMO3;DOMMO;R$;1,56;1,58;1,50;1,53;1,52
6314867;09/06/2022;DMMO3;DOMMO;R$;1,55;1,60;1,52;1,55;1,56
6307986;08/06/2022;DMMO3;DOMMO;R$;1,65;1,68;1,54;1,59;1,54
6301214;07/06/2022;DMMO3;DOMMO;R$;1,59;1,71;1,54;1,65;1,67
6294432;06/06/2022;DMMO3;DOMMO;R$;1,50;1,64;1,47;1,57;1,61
6288042;03/06/2022;DMMO3;DOMMO;R$;1,35;1,51;1,34;1,43;1,49
6281413;02/06/2022;DMMO3;DOMMO;R$;1,36;1,37;1,33;1,35;1,36
6274810;01/06/2022;DMMO3;DOMMO;R$;1,39;1,40;1,35;1,37;1,36
6268560;31/05/2022;DMMO3;DOMMO;R$;1,38;1,42;1,36;1,38;1,38
6262256;30/05/2022;DMMO3;DOMMO;R$;1,43;1,46;1,35;1,38;1,36
6256029;27/05/2022;DMMO3;DOMMO;R$;1,39;1,43;1,38;1,40;1,41
6249561;26/05/2022;DMMO3;DOMMO;R$;1,38;1,43;1,34;1,38;1,38
6243385;25/05/2022;DMMO3;DOMMO;R$;1,36;1,40;1,33;1,36;1,38
6237119;24/05/2022;DMMO3;DOMMO;R$;1,23;1,39;1,21;1,30;1,36
6230399;23/05/2022;DMMO3;DOMMO;R$;1,20;1,29;1,19;1,24;1,25
6222313;20/05/2022;DMMO3;DOMMO;R$;1,21;1,23;1,17;1,18;1,18
6213565;19/05/2022;DMMO3;DOMMO;R$;1,16;1,22;1,15;1,18;1,19
6205239;18/05/2022;DMMO3;DOMMO;R$;1,20;1,21;1,14;1,16;1,15
6196756;17/05/2022;DMMO3;DOMMO;R$;1,24;1,28;1,20;1,23;1,20
6188666;16/05/2022;DMMO3;DOMMO;R$;1,22;1,25;1,16;1,20;1,17
6180989;13/05/2022;DMMO3;DOMMO;R$;1,32;1,34;1,20;1,26;1,21
6173773;12/05/2022;DMMO3;DOMMO;R$;1,16;1,33;1,14;1,25;1,30
6166622;11/05/2022;DMMO3;DOMMO;R$;1,22;1,26;1,14;1,19;1,18
6159733;10/05/2022;DMMO3;DOMMO;R$;1,13;1,27;1,09;1,18;1,21
6152647;09/05/2022;DMMO3;DOMMO;R$;1,38;1,45;1,15;1,28;1,16
6145935;06/05/2022;DMMO3;DOMMO;R$;1,66;1,67;1,48;1,56;1,51
6139195;05/05/2022;DMMO3;DOMMO;R$;1,85;1,94;1,68;1,80;1,70
6132338;04/05/2022;DMMO3;DOMMO;R$;1,90;1,92;1,78;1,83;1,85
6125918;03/05/2022;DMMO3;DOMMO;R$;1,68;1,94;1,68;1,84;1,86
6119065;02/05/2022;DMMO3;DOMMO;R$;1,73;1,76;1,61;1,67;1,69
6112683;29/04/2022;DMMO3;DOMMO;R$;1,74;1,80;1,64;1,73;1,73
6106508;28/04/2022;DMMO3;DOMMO;R$;1,56;1,75;1,52;1,64;1,69
6100343;27/04/2022;DMMO3;DOMMO;R$;1,56;1,61;1,49;1,55;1,54
6093866;26/04/2022;DMMO3;DOMMO;R$;1,49;1,61;1,46;1,52;1,54
6087562;25/04/2022;DMMO3;DOMMO;R$;1,52;1,53;1,40;1,46;1,49
6081093;22/04/2022;DMMO3;DOMMO;R$;1,52;1,64;1,48;1,56;1,53
6074865;20/04/2022;DMMO3;DOMMO;R$;1,59;1,64;1,49;1,55;1,53
6068316;19/04/2022;DMMO3;DOMMO;R$;1,78;1,83;1,57;1,67;1,57
6061729;18/04/2022;DMMO3;DOMMO;R$;1,53;1,88;1,52;1,74;1,78
6053810;14/04/2022;DMMO3;DOMMO;R$;1,56;1,66;1,50;1,56;1,50
6045030;13/04/2022;DMMO3;DOMMO;R$;1,25;1,62;1,23;1,47;1,59
6036434;12/04/2022;DMMO3;DOMMO;R$;1,32;1,34;1,23;1,27;1,24
6028187;11/04/2022;DMMO3;DOMMO;R$;1,31;1,36;1,27;1,31;1,31
6020442;08/04/2022;DMMO3;DOMMO;R$;1,27;1,30;1,22;1,27;1,30
6013205;07/04/2022;DMMO3;DOMMO;R$;1,18;1,29;1,18;1,24;1,26
6005755;06/04/2022;DMMO3;DOMMO;R$;1,23;1,24;1,17;1,19;1,18
5998184;05/04/2022;DMMO3;DOMMO;R$;1,25;1,30;1,23;1,26;1,23
5991095;04/04/2022;DMMO3;DOMMO;R$;1,28;1,29;1,22;1,24;1,26
5983899;01/04/2022;DMMO3;DOMMO;R$;1,33;1,35;1,26;1,29;1,27
5977112;31/03/2022;DMMO3;DOMMO;R$;1,30;1,37;1,27;1,30;1,34
5970201;30/03/2022;DMMO3;DOMMO;R$;1,32;1,32;1,25;1,29;1,32
5962884;29/03/2022;DMMO3;DOMMO;R$;1,20;1,32;1,18;1,23;1,31
5956194;28/03/2022;DMMO3;DOMMO;R$;1,37;1,39;1,28;1,30;1,28
5948970;25/03/2022;DMMO3;DOMMO;R$;1,43;1,47;1,34;1,39;1,37
5942096;24/03/2022;DMMO3;DOMMO;R$;1,34;1,48;1,33;1,41;1,43
5935524;23/03/2022;DMMO3;DOMMO;R$;1,25;1,39;1,23;1,31;1,37
5928707;22/03/2022;DMMO3;DOMMO;R$;1,23;1,37;1,17;1,27;1,24
5921911;21/03/2022;DMMO3;DOMMO;R$;1,21;1,26;1,14;1,21;1,23
5913687;18/03/2022;DMMO3;DOMMO;R$;0,99;1,24;0,98;1,13;1,22
5904573;17/03/2022;DMMO3;DOMMO;R$;1,01;1,03;0,99;1,00;0,99
5896089;16/03/2022;DMMO3;DOMMO;R$;1,04;1,04;0,98;1,00;1,00
5887728;15/03/2022;DMMO3;DOMMO;R$;0,93;1,05;0,92;0,98;1,03
5879676;14/03/2022;DMMO3;DOMMO;R$;0,93;0,97;0,90;0,93;0,94
5872104;11/03/2022;DMMO3;DOMMO;R$;0,97;0,97;0,90;0,93;0,93
5864978;10/03/2022;DMMO3;DOMMO;R$;0,88;0,96;0,87;0,90;0,96
5857427;09/03/2022;DMMO3;DOMMO;R$;0,89;0,89;0,86;0,87;0,87
5850032;08/03/2022;DMMO3;DOMMO;R$;0,89;0,95;0,87;0,90;0,88
5842198;07/03/2022;DMMO3;DOMMO;R$;0,94;0,99;0,87;0,92;0,88
