cotacao_id;cotacao_data;cotacao_codigo_acao;cotacao_nome_empresa_reduzido;cotacao_tipo_moeda;cotacao_valor_abertura;cotacao_valor_maximo;cotacao_valor_minimo;cotacao_valor_medio;cotacao_valor_fechamento;cotacao_variacao
7003514;21/10/2022;DMMO3;DOMMO;R$;1,79;1,82;1,79;1,8;1,8;0,0056
6994376;20/10/2022;DMMO3;DOMMO;R$;1,79;1,8;1,78;1,79;1,79;0,0
6985683;19/10/2022;DMMO3;DOMMO;R$;1,78;1,79;1,78;1,78;1,79;0,0056
6977384;18/10/2022;DMMO3;DOMMO;R$;1,78;1,79;1,78;1,78;1,79;0,0056
6969300;17/10/2022;DMMO3;DOMMO;R$;1,76;1,8;1,76;1,78;1,78;0,0114
6961801;14/10/2022;DMMO3;DOMMO;R$;1,77;1,78;1,76;1,76;1,77;0,0
6954318;13/10/2022;DMMO3;DOMMO;R$;1,76;1,78;1,75;1,76;1,77;0,0057
6947289;11/10/2022;DMMO3;DOMMO;R$;1,79;1,79;1,76;1,77;1,77;-0,0112
6940194;10/10/2022;DMMO3;DOMMO;R$;1,8;1,8;1,78;1,78;1,79;-0,0056
6932734;07/10/2022;DMMO3;DOMMO;R$;1,78;1,8;1,78;1,79;1,8;0,0112
6925101;06/10/2022;DMMO3;DOMMO;R$;1,79;1,8;1,79;1,79;1,79;0,0
6917682;05/10/2022;DMMO3;DOMMO;R$;1,77;1,8;1,76;1,78;1,8;0,0169
6909802;04/10/2022;DMMO3;DOMMO;R$;1,76;1,78;1,75;1,76;1,77;0,0057
6901642;03/10/2022;DMMO3;DOMMO;R$;1,75;1,78;1,74;1,75;1,76;0,0057
6894362;30/09/2022;DMMO3;DOMMO;R$;1,74;1,77;1,73;1,74;1,74;0,0
6886819;29/09/2022;DMMO3;DOMMO;R$;1,74;1,75;1,73;1,74;1,75;0,0057
6879811;28/09/2022;DMMO3;DOMMO;R$;1,74;1,76;1,73;1,74;1,75;0,0057
6872734;27/09/2022;DMMO3;DOMMO;R$;1,75;1,76;1,73;1,74;1,74;-0,0057
6865620;26/09/2022;DMMO3;DOMMO;R$;1,75;1,75;1,73;1,74;1,74;-0,0057
6858665;23/09/2022;DMMO3;DOMMO;R$;1,74;1,76;1,73;1,74;1,75;0,0057
6851500;22/09/2022;DMMO3;DOMMO;R$;1,77;1,77;1,74;1,75;1,75;-0,0113
6844564;21/09/2022;DMMO3;DOMMO;R$;1,75;1,78;1,74;1,75;1,76;0,0057
6837561;20/09/2022;DMMO3;DOMMO;R$;1,76;1,76;1,74;1,75;1,75;-0,0057
6830364;19/09/2022;DMMO3;DOMMO;R$;1,75;1,77;1,73;1,75;1,77;0,0114
6822143;16/09/2022;DMMO3;DOMMO;R$;1,7;1,77;1,69;1,73;1,76;0,0353
6813027;15/09/2022;DMMO3;DOMMO;R$;1,71;1,72;1,69;1,7;1,7;-0,0058
6804291;14/09/2022;DMMO3;DOMMO;R$;1,7;1,72;1,7;1,7;1,7;0,0
6795769;13/09/2022;DMMO3;DOMMO;R$;1,7;1,73;1,69;1,7;1,7;0,0
6786979;12/09/2022;DMMO3;DOMMO;R$;1,73;1,74;1,69;1,71;1,71;-0,0116
6779088;09/09/2022;DMMO3;DOMMO;R$;1,72;1,74;1,71;1,72;1,72;0,0
